"Source","Row","Data","Error"
"Sales",8,"{""Sku Code"":""JB-0000010-02-03Y"",""Name"":""Stylo Bug Girls Red Printed Fit and Flare Dress"",""Total Sales"":""3"",""Day Of Inventory"":""330"",""Inventory"":""33""}","Duplicate Sku Found"
"Sales",9,"{""Sku Code"":""JB-0000011-02-03Y"",""Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Total Sales"":""8"",""Day Of Inventory"":""37"",""Inventory"":""10""}","Duplicate Sku Found"
"Sales",10,"{""Sku Code"":""JB-0000011-06-07Y"",""Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Total Sales"":""6"",""Day Of Inventory"":""40"",""Inventory"":""8""}","Duplicate Sku Found"
"Sales",11,"{""Sku Code"":""JB-0000011-07-08Y"",""Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Total Sales"":""1"",""Day Of Inventory"":""0"",""Inventory"":""0""}","Duplicate Sku Found"
"Sales",12,"{""Sku Code"":""JB-0000011-08-09Y"",""Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Total Sales"":""2"",""Day Of Inventory"":""0"",""Inventory"":""0""}","Duplicate Sku Found"
"Sales",13,"{""Sku Code"":""JB-0000011-09-10Y"",""Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Total Sales"":""2"",""Day Of Inventory"":""0"",""Inventory"":""0""}","Duplicate Sku Found"
"Sales",14,"{""Sku Code"":""JB-0000012-02-03Y"",""Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Total Sales"":""1"",""Day Of Inventory"":""0"",""Inventory"":""0""}","Duplicate Sku Found"
"Inventory",21,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Red Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000010-02-03Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Red"",""Size"":""02-03Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""1"",""Bad Inventory"":""1"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",22,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Red Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000010-||03-04Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Red"",""Size"":""03-04Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Invalid Sku Found"
"Inventory",23,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Red Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000010-04-05Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Red"",""Size"":""04-05Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",24,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Red Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000010-05-06Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Red"",""Size"":""05-06Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",25,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Red Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000010-06-07Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Red"",""Size"":""06-07Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""1"",""Inventory Blocked"":""0"",""Bad Inventory"":""1"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",26,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-02-03Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""02-03Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""3"",""Inventory Blocked"":""0"",""Bad Inventory"":""2"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",27,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-03-04Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""03-04Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""28"",""Inventory Blocked"":""0"",""Bad Inventory"":""1"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",28,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-04-05Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""04-05Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""7"",""Inventory Blocked"":""0"",""Bad Inventory"":""4"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",29,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-05-06Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""05-06Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""1"",""Inventory Blocked"":""0"",""Bad Inventory"":""6"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",30,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-06-07Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""06-07Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""5"",""Inventory Blocked"":""1"",""Bad Inventory"":""9"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",31,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-07-08Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""07-08Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""8"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",32,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-08-09Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""08-09Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""6"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",33,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Black Printed A-Line Dress"",""Item SkuCode"":""JB-0000011-09-10Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Black"",""Size"":""09-10Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""14"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",34,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-02-03Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""02-03Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""1"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",35,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-03-04Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""03-04Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",36,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-04-05Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""04-05Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",37,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-05-06Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""05-06Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",38,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-06-07Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""06-07Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",39,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-07-08Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""07-08Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"
"Inventory",40,"{""Facility"":""Stylo Bug"",""Item Type Name"":""Stylo Bug Girls Pink Printed Fit and Flare Dress"",""Item SkuCode"":""JB-0000012-08-09Y"",""EAN"":"""",""UPC"":"""",""ISBN"":"""",""Color"":""Pink"",""Size"":""08-09Y"",""Brand"":""Stylo Bug"",""Category Name"":""Party Dress"",""MRP"":""1995"",""Open Sale"":""0"",""Inventory"":""0"",""Inventory Blocked"":""0"",""Bad Inventory"":""0"",""Putaway Pending"":""0"",""Pending Inventory Assessment"":""0"",""Stock In Transfer"":""0"",""Open Purchase"":""0"",""Enabled"":""TRUE"",""Cost Price"":""""}","Duplicate Sku Found"